#Seq	Imp_val	m_sum_neg	c_neg	m_sum_all	m_sum_nzr	Mag	c_nzr	c_all	m_max	s_min	m_sdv_neg	s_sdv_neg	m_avg_neg	s_avg_neg	s_sdv_nzr	m_sdv_all	s_sdv_all	s_avg_nzr	m_avg_nzr	s_avg_all	Sc	m_avg_all	m_sum_pos	c_pos	m_min	s_max	m_sdv_pos	s_sdv_pos	m_avg_pos	s_avg_pos	m_sdv_nzr
15	1	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.20
16	1	0.60	1	0.60	0.60	0.6	1	1	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	1.25
17	1	0.80	3	1.30	1.30	1.4	5	5	0.60	-0.60	0.36	0.36	0.27	-0.27	0.32	0.32	0.32	-0.06	0.26	-0.06	0	0.26	0.50	2	0.10	0.30	0.25	0.25	0.25	0.25	0.59
18	1	4.80	8	5.10	5.10	5.4	10	10	0.90	-0.90	0.65	0.65	0.60	-0.60	0.59	0.59	0.59	-0.45	0.51	-0.45	-0.4	0.51	0.30	2	0.10	0.20	0.16	0.16	0.15	0.15	0.64
19	1	2.30	3	2.30	2.30	2.4	3	3	0.90	-0.90	0.78	0.78	0.77	-0.77	0.78	0.78	0.78	-0.77	0.77	-0.77	-0.8	0.77	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	0.90
20	1	1.80	2	2.20	2.20	2.3	3	4	0.90	-0.90	0.90	0.90	0.90	-0.90	0.77	0.67	0.67	-0.47	0.73	-0.35	-0.3	0.55	0.40	1	0.00	0.40	0.40	0.40	0.40	0.40	0.95
21	1	0.00	0	0.00	0.00	0.1	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22	1	1.70	3	1.70	1.70	1.8	3	3	0.70	-0.70	0.57	0.57	0.57	-0.57	0.57	0.57	0.57	-0.57	0.57	-0.57	-0.6	0.57	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.57
23	1	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.76
24	1	1.70	2	1.70	1.70	1.8	2	3	0.90	-0.90	0.85	0.85	0.85	-0.85	0.85	0.70	0.70	-0.85	0.85	-0.57	-0.5	0.57	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.05
29	1	1.90	4	3.30	3.30	3.5	8	8	0.60	-0.60	0.52	0.52	0.47	-0.47	0.46	0.46	0.46	-0.06	0.41	-0.06	0	0.41	1.40	4	0.10	0.50	0.38	0.38	0.35	0.35	0.54
30	1	0.00	0	0.20	0.20	0.2	1	1	0.20	0.20	0.00	0.00	0.00	0.00	0.20	0.20	0.20	0.20	0.20	0.20	0.2	0.20	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.76
31	1	1.80	3	1.80	1.80	2	3	4	0.80	-0.80	0.62	0.62	0.60	-0.60	0.62	0.53	0.53	-0.60	0.60	-0.45	-0.4	0.45	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.80
32	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33	1	4.40	8	4.50	4.50	5.1	9	12	0.80	-0.80	0.57	0.57	0.55	-0.55	0.54	0.47	0.47	-0.48	0.50	-0.36	-0.3	0.38	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.54
34	1	1.80	3	3.10	3.10	3.3	6	7	0.70	-0.70	0.61	0.61	0.60	-0.60	0.56	0.51	0.51	-0.08	0.52	-0.07	0	0.44	1.30	3	0.00	0.70	0.50	0.50	0.43	0.43	0.63
35	1	0.40	1	0.60	0.60	0.7	2	2	0.40	-0.40	0.40	0.40	0.40	-0.40	0.32	0.32	0.32	-0.10	0.30	-0.10	0	0.30	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.64
36	1	0.70	1	0.70	0.70	0.7	1	2	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.49	0.49	-0.70	0.70	-0.35	-0.3	0.35	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.07
37	1	0.00	0	0.70	0.70	0.7	2	2	0.50	0.20	0.00	0.00	0.00	0.00	0.38	0.38	0.38	0.35	0.35	0.35	0.3	0.35	0.70	2	0.20	0.50	0.38	0.38	0.35	0.35	0.82
38	1	2.00	3	2.00	2.00	2.1	3	3	0.80	-0.80	0.68	0.68	0.67	-0.67	0.68	0.68	0.68	-0.67	0.67	-0.67	-0.7	0.67	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.86
39	1	0.40	1	0.40	0.40	0.4	1	1	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	-0.40	-0.4	0.40	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	1.01
40	1	3.00	5	3.40	3.40	3.7	6	8	0.70	-0.70	0.61	0.61	0.60	-0.60	0.58	0.50	0.50	-0.43	0.57	-0.33	-0.3	0.42	0.40	1	0.00	0.40	0.40	0.40	0.40	0.40	0.71
42	1	2.90	4	2.90	2.90	3.1	4	5	0.90	-0.90	0.74	0.74	0.73	-0.73	0.74	0.66	0.66	-0.73	0.73	-0.58	-0.6	0.58	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.83
43	1	0.00	0	2.00	2.00	2.1	4	4	0.70	0.40	0.00	0.00	0.00	0.00	0.51	0.51	0.51	0.50	0.50	0.50	0.5	0.50	2.00	4	0.40	0.70	0.51	0.51	0.50	0.50	0.69
44	1	3.10	4	3.10	3.10	3.3	4	4	0.90	-0.90	0.78	0.78	0.78	-0.78	0.78	0.78	0.78	-0.78	0.78	-0.78	-0.8	0.78	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	0.88
45	1	1.00	2	1.10	1.10	1.2	3	4	0.90	-0.90	0.64	0.64	0.50	-0.50	0.53	0.46	0.46	-0.30	0.37	-0.23	-0.2	0.28	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.76
46	1	1.40	3	1.40	1.40	1.6	3	4	0.60	-0.60	0.48	0.48	0.47	-0.47	0.48	0.42	0.42	-0.47	0.47	-0.35	-0.4	0.35	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.70
47	1	1.40	3	1.40	1.40	1.5	3	4	0.70	-0.70	0.50	0.50	0.47	-0.47	0.50	0.43	0.43	-0.47	0.47	-0.35	-0.3	0.35	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.69
48	1	5.70	10	6.60	6.60	7.2	12	13	0.80	-0.80	0.61	0.61	0.57	-0.57	0.59	0.56	0.56	-0.40	0.55	-0.37	-0.4	0.51	0.90	2	0.00	0.50	0.45	0.45	0.45	0.45	0.63
49	1	0.40	1	0.40	0.40	0.4	1	1	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	-0.40	-0.4	0.40	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.89
50	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
51	1	1.20	2	1.60	1.60	1.7	3	3	0.90	-0.90	0.67	0.67	0.60	-0.60	0.59	0.59	0.59	-0.27	0.53	-0.27	-0.2	0.53	0.40	1	0.30	0.40	0.40	0.40	0.40	0.40	0.59
52	1	4.70	9	7.20	7.20	8	14	16	0.90	-0.90	0.60	0.60	0.52	-0.52	0.58	0.54	0.54	-0.16	0.51	-0.14	-0.1	0.45	2.50	5	0.00	0.80	0.55	0.55	0.50	0.50	0.62
53	1	1.60	2	1.60	1.60	1.7	2	2	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	0.97
54	1	1.10	2	1.10	1.10	1.2	2	2	0.70	-0.70	0.57	0.57	0.55	-0.55	0.57	0.57	0.57	-0.55	0.55	-0.55	-0.6	0.55	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.90
55	1	0.80	1	1.10	1.10	1.1	2	2	0.80	-0.80	0.80	0.80	0.80	-0.80	0.60	0.60	0.60	-0.25	0.55	-0.25	-0.2	0.55	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.90
56	1	1.20	2	1.20	1.20	1.3	2	3	0.70	-0.70	0.61	0.61	0.60	-0.60	0.61	0.50	0.50	-0.60	0.60	-0.40	-0.4	0.40	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.91
57	1	0.70	2	0.70	0.70	0.8	2	2	0.50	-0.50	0.38	0.38	0.35	-0.35	0.38	0.38	0.38	-0.35	0.35	-0.35	-0.4	0.35	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	0.77
58	1	0.20	1	0.20	0.20	0.2	1	2	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	0.14	0.14	-0.20	0.20	-0.10	-0.1	0.10	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.90
59	1	0.70	1	1.10	1.10	1.1	2	2	0.70	-0.70	0.70	0.70	0.70	-0.70	0.57	0.57	0.57	-0.15	0.55	-0.15	-0.1	0.55	0.40	1	0.40	0.40	0.40	0.40	0.40	0.40	0.88
60	1	1.20	2	1.20	1.20	1.3	2	2	0.80	-0.80	0.63	0.63	0.60	-0.60	0.63	0.63	0.63	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.92
61	1	1.40	3	1.40	1.40	1.5	3	3	0.60	-0.60	0.48	0.48	0.47	-0.47	0.48	0.48	0.48	-0.47	0.47	-0.47	-0.5	0.47	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.73
62	1	0.60	1	0.60	0.60	0.7	1	3	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	0.35	0.35	-0.60	0.60	-0.20	-0.2	0.20	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.04
63	1	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.36
64	1	4.10	7	4.20	4.20	4.5	8	11	0.90	-0.90	0.67	0.67	0.59	-0.59	0.63	0.54	0.54	-0.50	0.53	-0.36	-0.3	0.38	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.75
65	1	0.20	2	0.50	0.50	0.6	3	3	0.30	-0.10	0.10	0.10	0.10	-0.10	0.19	0.19	0.19	0.03	0.17	0.03	0	0.17	0.30	1	0.10	0.30	0.30	0.30	0.30	0.30	0.54
66	1	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.01
68	1	1.70	2	1.70	1.70	1.7	2	3	0.90	-0.90	0.85	0.85	0.85	-0.85	0.85	0.70	0.70	-0.85	0.85	-0.57	-0.5	0.57	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.02
69	1	1.90	4	2.70	2.70	3	7	8	0.80	-0.80	0.54	0.54	0.48	-0.48	0.46	0.43	0.43	-0.16	0.39	-0.14	-0.1	0.34	0.80	3	0.00	0.50	0.32	0.32	0.27	0.27	0.59
70	1	3.50	6	3.60	3.60	4	7	9	0.90	-0.90	0.64	0.64	0.58	-0.58	0.59	0.52	0.52	-0.49	0.51	-0.38	-0.4	0.40	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.66
71	1	0.90	1	1.20	1.20	1.2	3	3	0.90	-0.90	0.90	0.90	0.90	-0.90	0.54	0.54	0.54	-0.20	0.40	-0.20	-0.1	0.40	0.30	2	0.10	0.20	0.16	0.16	0.15	0.15	0.71
72	1	0.80	1	0.80	0.80	0.9	1	2	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.57	0.57	-0.80	0.80	-0.40	-0.4	0.40	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.16
73	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	1.19
74	1	8.80	13	9.30	9.30	10	14	15	0.90	-0.90	0.71	0.71	0.68	-0.68	0.70	0.67	0.67	-0.59	0.66	-0.55	-0.5	0.62	0.50	1	0.00	0.50	0.50	0.50	0.50	0.50	0.75
75	1	0.30	1	0.30	0.30	0.3	1	1	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	-0.30	-0.3	0.30	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.92
76	1	2.10	3	2.10	2.10	2.1	3	3	0.90	-0.90	0.75	0.75	0.70	-0.70	0.75	0.75	0.75	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.94
77	1	1.30	3	1.30	1.30	1.4	3	3	0.60	-0.60	0.47	0.47	0.43	-0.43	0.47	0.47	0.47	-0.43	0.43	-0.43	-0.4	0.43	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	0.73
78	1	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.17
81	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
82	1	2.30	3	2.30	2.30	2.4	3	3	0.90	-0.90	0.79	0.79	0.77	-0.77	0.79	0.79	0.79	-0.77	0.77	-0.77	-0.8	0.77	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.79
83	1	8.20	18	11.80	11.80	13.4	26	33	0.80	-0.80	0.51	0.51	0.46	-0.46	0.50	0.44	0.44	-0.18	0.45	-0.14	-0.1	0.36	3.60	8	0.00	0.60	0.47	0.47	0.45	0.45	0.53
84	1	1.20	2	1.20	1.20	1.4	2	4	0.80	-0.80	0.63	0.63	0.60	-0.60	0.63	0.45	0.45	-0.60	0.60	-0.30	-0.3	0.30	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.82
85	1	1.90	4	2.60	2.60	3	7	9	0.80	-0.80	0.54	0.54	0.48	-0.48	0.45	0.40	0.40	-0.17	0.37	-0.13	-0.1	0.29	0.70	3	0.00	0.50	0.30	0.30	0.23	0.23	0.57
86	1	1.70	4	1.70	1.70	1.9	4	4	0.60	-0.60	0.46	0.46	0.42	-0.42	0.46	0.46	0.46	-0.42	0.42	-0.42	-0.4	0.42	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	0.60
87	1	1.80	3	1.80	1.80	1.9	3	4	0.90	-0.90	0.65	0.65	0.60	-0.60	0.65	0.56	0.56	-0.60	0.60	-0.45	-0.4	0.45	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.79
88	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
89	1	0.50	1	0.50	0.50	0.5	1	2	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.35	0.35	-0.50	0.50	-0.25	-0.2	0.25	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.50
90	1	0.60	1	0.60	0.60	0.6	1	1	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	0.93
92	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	1.23
93	1	0.90	1	0.90	0.90	1	1	2	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.64	0.64	-0.90	0.90	-0.45	-0.5	0.45	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.43
94	1	1.30	5	1.50	1.50	1.8	6	6	0.40	-0.40	0.28	0.28	0.26	-0.26	0.27	0.27	0.27	-0.18	0.25	-0.18	-0.2	0.25	0.20	1	0.10	0.20	0.20	0.20	0.20	0.20	0.56
95	1	1.70	2	1.80	1.80	2	3	4	0.90	-0.90	0.85	0.85	0.85	-0.85	0.70	0.60	0.60	-0.53	0.60	-0.40	-0.3	0.45	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.82
96	1	1.10	2	2.50	2.50	2.7	6	6	0.70	-0.70	0.57	0.57	0.55	-0.55	0.48	0.48	0.48	0.05	0.42	0.05	0	0.42	1.40	4	0.10	0.70	0.44	0.44	0.35	0.35	0.61
97	1	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.19
98	1	7.10	12	7.30	7.30	8	14	16	0.90	-0.90	0.65	0.65	0.59	-0.59	0.60	0.56	0.56	-0.49	0.52	-0.43	-0.4	0.46	0.20	2	0.00	0.10	0.10	0.10	0.10	0.10	0.67
99	1	0.00	0	0.20	0.20	0.2	1	1	0.20	0.20	0.00	0.00	0.00	0.00	0.20	0.20	0.20	0.20	0.20	0.20	0.2	0.20	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.84
100	1	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.22
101	1	1.30	2	1.30	1.30	1.4	2	2	0.70	-0.70	0.65	0.65	0.65	-0.65	0.65	0.65	0.65	-0.65	0.65	-0.65	-0.7	0.65	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	1.02
102	1	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	1.13
103	1	2.20	3	2.50	2.50	2.6	4	4	0.90	-0.90	0.74	0.74	0.73	-0.73	0.66	0.66	0.66	-0.47	0.62	-0.47	-0.5	0.62	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.85
104	1	0.40	1	0.40	0.40	0.4	1	2	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	0.28	0.28	-0.40	0.40	-0.20	-0.1	0.20	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.00
105	1	0.60	1	0.60	0.60	0.6	1	1	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	0.60	0.60	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.60	-0.60	0.00	0.00	0.00	0.00	1.17
106	1	1.30	3	1.50	1.50	1.6	5	5	0.80	-0.80	0.52	0.52	0.43	-0.43	0.41	0.41	0.41	-0.22	0.30	-0.22	-0.2	0.30	0.20	2	0.10	0.10	0.10	0.10	0.10	0.10	0.63
107	1	5.30	7	5.60	5.60	6.1	8	8	0.90	-0.90	0.78	0.78	0.76	-0.76	0.74	0.74	0.74	-0.63	0.70	-0.63	-0.6	0.70	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.79
108	1	0.00	0	0.50	0.50	0.5	1	1	0.50	0.50	0.00	0.00	0.00	0.00	0.50	0.50	0.50	0.50	0.50	0.50	0.5	0.50	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	1.02
109	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
111	1	1.60	2	2.30	2.30	2.4	4	4	0.90	-0.90	0.81	0.81	0.80	-0.80	0.65	0.65	0.65	-0.23	0.57	-0.23	-0.1	0.57	0.70	2	0.10	0.60	0.43	0.43	0.35	0.35	0.74
112	1	0.80	3	0.90	0.90	1.1	4	5	0.40	-0.40	0.29	0.29	0.27	-0.27	0.26	0.23	0.23	-0.18	0.23	-0.14	-0.1	0.18	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.50
113	1	0.00	0	0.20	0.20	0.3	1	2	0.20	0.00	0.00	0.00	0.00	0.00	0.20	0.14	0.14	0.20	0.20	0.10	0.1	0.10	0.20	1	0.00	0.20	0.20	0.20	0.20	0.20	0.74
114	1	0.60	2	0.70	0.70	0.8	3	3	0.50	-0.50	0.36	0.36	0.30	-0.30	0.30	0.30	0.30	-0.17	0.23	-0.17	-0.1	0.23	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.58
115	1	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116	1	1.80	4	3.30	3.30	3.7	10	11	0.90	-0.90	0.52	0.52	0.45	-0.45	0.40	0.38	0.38	-0.03	0.33	-0.03	0	0.30	1.50	6	0.00	0.50	0.29	0.29	0.25	0.25	0.40
117	1	1.80	3	1.80	1.80	1.9	3	3	0.80	-0.80	0.62	0.62	0.60	-0.60	0.62	0.62	0.62	-0.60	0.60	-0.60	-0.6	0.60	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.72
119	1	0.50	1	0.60	0.60	0.6	2	2	0.50	-0.50	0.50	0.50	0.50	-0.50	0.36	0.36	0.36	-0.20	0.30	-0.20	-0.2	0.30	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.75
120	1	1.10	2	1.10	1.10	1.2	2	2	0.70	-0.70	0.57	0.57	0.55	-0.55	0.57	0.57	0.57	-0.55	0.55	-0.55	-0.6	0.55	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.84
122	1	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.08
123	1	1.30	2	1.30	1.30	1.4	2	3	0.80	-0.80	0.67	0.67	0.65	-0.65	0.67	0.54	0.54	-0.65	0.65	-0.43	-0.4	0.43	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.99
124	1	1.00	2	1.20	1.20	1.3	3	3	0.80	-0.80	0.58	0.58	0.50	-0.50	0.49	0.49	0.49	-0.27	0.40	-0.27	-0.2	0.40	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	0.76
